image_path,split,filename,timestamp,clarity_score,turbidity_score,unscoreable_reason,dcp_raw,tenengrad_raw,blue_dom_raw,uicm_raw,dcp_score,tenengrad_score,blue_dom_score,uicm_score,image_w,image_h
data\train\images\20230424-040015-C4k0193.jpg,train,20230424-040015-C4k0193.jpg,20230424-040015,63.72,36.28,,18.427,1641.665,1.4057,0.01186,10.77,74.06,19.24,59.08,2688,1512
data\train\images\20230428-060015-C4k0193.jpg,train,20230428-060015-C4k0193.jpg,20230428-060015,27.42,72.58,,40.679,2189.019,0.9237,0.01847,86.21,64.91,83.04,20.16,2688,1511
data\train\images\20230429-000015-C4k0193.jpg,train,20230429-000015-C4k0193.jpg,20230429-000015,62.74,37.26,,20.053,2353.645,1.3432,0.01068,16.28,62.16,27.51,66.02,2560,1440
data\train\images\20230429-010015-C4k0193.jpg,train,20230429-010015-C4k0193.jpg,20230429-010015,59.5,40.5,,21.341,2275.301,1.3077,0.01041,20.65,63.47,32.21,67.6,2560,1440
data\train\images\20230516-193015-C4k0193.jpg,train,20230516-193015-C4k0193.jpg,20230516-193015,83.38,16.62,,9.817,3920.166,1.4855,0.01495,0.0,35.98,8.69,40.88,2560,1440
data\train\images\20230516-200015-C4k0193.jpg,train,20230516-200015-C4k0193.jpg,20230516-200015,57.41,42.59,,17.753,1718.178,1.1789,0.00913,8.48,72.78,49.26,75.1,2560,1440
data\train\images\20230721-170036-IPC608_8B64_165.jpg,train,20230721-170036-IPC608_8B64_165.jpg,20230721-170036,28.06,71.94,,38.214,516.153,1.4061,0.00643,77.85,92.87,19.19,91.02,1920,1080
data\train\images\20230723-060036-IPC608_8B64_165.jpg,train,20230723-060036-IPC608_8B64_165.jpg,20230723-060036,58.62,41.38,,24.869,1393.91,1.9093,0.01361,32.61,78.2,0.0,48.75,1920,1080
data\train\images\20230723-073036-IPC608_8B64_165.jpg,train,20230723-073036-IPC608_8B64_165.jpg,20230723-073036,52.95,47.05,,28.405,1269.72,1.7644,0.01318,44.6,80.28,0.0,51.3,1920,1080
data\train\images\20230723-090037-IPC608_8B64_165.jpg,train,20230723-090037-IPC608_8B64_165.jpg,20230723-090037,57.73,42.27,,28.988,2067.987,1.6407,0.01585,46.57,66.94,0.0,35.59,1920,1080
data\train\images\20230723-103036-IPC608_8B64_165.jpg,train,20230723-103036-IPC608_8B64_165.jpg,20230723-103036,58.88,41.12,,27.711,1877.957,1.7038,0.01649,42.25,70.11,0.0,31.85,1920,1080
data\train\images\20230724-070036-IPC608_8B64_165.jpg,train,20230724-070036-IPC608_8B64_165.jpg,20230724-070036,57.64,42.36,,25.532,1243.869,1.9203,0.01476,34.86,80.71,0.0,42.01,1920,1080
data\train\images\20230724-113036-IPC608_8B64_165.jpg,train,20230724-113036-IPC608_8B64_165.jpg,20230724-113036,47.2,52.8,,29.417,763.96,1.9027,0.01005,48.03,88.73,0.0,69.73,1920,1080
data\train\images\20230724-123036-IPC608_8B64_165.jpg,train,20230724-123036-IPC608_8B64_165.jpg,20230724-123036,45.18,54.82,,30.079,728.163,1.879,0.00845,50.27,89.33,0.0,79.12,1920,1080
data\train\images\20230726-063036-IPC608_8B64_165.jpg,train,20230726-063036-IPC608_8B64_165.jpg,20230726-063036,52.87,47.13,,25.199,797.396,2.0656,0.00968,33.73,88.17,0.0,71.86,1920,1080
data\train\images\20230726-073036-IPC608_8B64_165.jpg,train,20230726-073036-IPC608_8B64_165.jpg,20230726-073036,56.99,43.01,,26.047,1306.842,1.8636,0.0143,36.6,79.66,0.0,44.69,1920,1080
data\train\images\20230726-123036-C4k0193.jpg,train,20230726-123036-C4k0193.jpg,20230726-123036,65.34,34.66,,24.835,7448.32,0.8589,0.01622,32.49,0.0,91.61,33.41,2560,1440
data\train\images\20230726-190036-IPC608_8B64_165.jpg,train,20230726-190036-IPC608_8B64_165.jpg,20230726-190036,52.08,47.92,,23.035,473.629,2.4107,0.0061,26.39,93.58,0.0,92.94,1920,1080
data\train\images\20230727-173036-IPC608_8B64_165.jpg,train,20230727-173036-IPC608_8B64_165.jpg,20230727-173036,45.82,54.18,,28.167,555.129,1.9002,0.00661,43.79,92.22,0.0,89.95,1920,1080
data\train\images\20230728-070036-IPC608_8B64_165.jpg,train,20230728-070036-IPC608_8B64_165.jpg,20230728-070036,51.02,48.98,,28.402,1018.201,1.7905,0.01204,44.59,84.48,0.0,58.0,1920,1080
data\train\images\20230728-073036-IPC608_8B64_165.jpg,train,20230728-073036-IPC608_8B64_165.jpg,20230728-073036,54.29,45.71,,26.887,1167.263,1.8322,0.01283,39.45,81.99,0.0,53.36,1920,1080
data\train\images\20230728-093036-IPC608_8B64_165.jpg,train,20230728-093036-IPC608_8B64_165.jpg,20230728-093036,58.77,41.23,,30.732,2678.379,1.5364,0.0171,52.49,56.73,1.94,28.26,1920,1080
data\train\images\20230728-100036-IPC608_8B64_165.jpg,train,20230728-100036-IPC608_8B64_165.jpg,20230728-100036,58.93,41.07,,30.967,2905.77,1.5244,0.0165,53.28,52.93,3.53,31.77,1920,1080
data\train\images\20230728-103036-IPC608_8B64_165.jpg,train,20230728-103036-IPC608_8B64_165.jpg,20230728-103036,54.74,45.26,,32.018,2426.752,1.5411,0.01515,56.85,60.94,1.32,39.72,1920,1080
data\train\images\20230728-133036-IPC608_8B64_165.jpg,train,20230728-133036-IPC608_8B64_165.jpg,20230728-133036,43.01,56.99,,33.149,1007.875,1.6701,0.00946,60.68,84.65,0.0,73.2,1920,1080
data\train\images\20230729-080036-IPC608_8B64_165.jpg,train,20230729-080036-IPC608_8B64_165.jpg,20230729-080036,44.41,55.59,,32.991,1104.941,1.6219,0.01064,60.15,83.03,0.0,66.23,1920,1080
data\train\images\20230729-113036-IPC608_8B64_165.jpg,train,20230729-113036-IPC608_8B64_165.jpg,20230729-113036,39.63,60.37,,34.432,854.733,1.598,0.00796,65.03,87.21,0.0,81.99,1920,1080
data\train\images\20230730-070036-IPC608_8B64_165.jpg,train,20230730-070036-IPC608_8B64_165.jpg,20230730-070036,51.07,48.93,,31.636,1723.932,1.6389,0.01357,55.55,72.69,0.0,49.0,1920,1080
data\train\images\20230730-080036-IPC608_8B64_165.jpg,train,20230730-080036-IPC608_8B64_165.jpg,20230730-080036,50.83,49.17,,31.076,1592.7,1.6757,0.01298,53.65,74.88,0.0,52.45,1920,1080
data\train\images\20230730-083036-IPC608_8B64_165.jpg,train,20230730-083036-IPC608_8B64_165.jpg,20230730-083036,55.89,44.11,,30.593,2243.883,1.5814,0.01494,52.02,64.0,0.0,40.97,1920,1080
data\train\images\20230730-090036-IPC608_8B64_165.jpg,train,20230730-090036-IPC608_8B64_165.jpg,20230730-090036,54.34,45.66,,31.676,2208.23,1.5439,0.01541,55.69,64.59,0.96,38.16,1920,1080
data\train\images\20230730-093036-IPC608_8B64_165.jpg,train,20230730-093036-IPC608_8B64_165.jpg,20230730-093036,54.58,45.42,,32.013,2459.187,1.5255,0.01528,56.83,60.4,3.39,38.93,1920,1080
data\train\images\20230730-100036-IPC608_8B64_165.jpg,train,20230730-100036-IPC608_8B64_165.jpg,20230730-100036,49.74,50.26,,32.292,1790.152,1.6075,0.01225,57.78,71.58,0.0,56.75,1920,1080
data\train\images\20230730-120036-IPC608_8B64_165.jpg,train,20230730-120036-IPC608_8B64_165.jpg,20230730-120036,43.42,56.58,,34.058,1256.178,1.5641,0.01012,63.76,80.5,0.0,69.28,1920,1080
data\train\images\20230730-133036-IPC608_8B64_165.jpg,train,20230730-133036-IPC608_8B64_165.jpg,20230730-133036,40.66,59.34,,34.517,1001.514,1.6029,0.00866,65.32,84.76,0.0,77.89,1920,1080
data\train\images\20230730-140036-IPC608_8B64_165.jpg,train,20230730-140036-IPC608_8B64_165.jpg,20230730-140036,39.95,60.05,,34.158,808.649,1.6227,0.00827,64.1,87.98,0.0,80.17,1920,1080
data\train\images\20230730-180036-IPC608_8B64_165.jpg,train,20230730-180036-IPC608_8B64_165.jpg,20230730-180036,43.56,56.44,,30.27,392.291,1.8842,0.009,50.92,94.94,0.0,75.87,1920,1080
data\train\images\20230731-080036-IPC608_8B64_165.jpg,train,20230731-080036-IPC608_8B64_165.jpg,20230731-080036,43.98,56.02,,32.555,1040.064,1.6731,0.00946,58.67,84.12,0.0,73.2,1920,1080
data\train\images\20230731-120036-IPC608_8B64_165.jpg,train,20230731-120036-IPC608_8B64_165.jpg,20230731-120036,42.18,57.82,,34.835,1380.131,1.5417,0.00918,66.4,78.43,1.25,74.84,1920,1080
data\train\images\20230731-123036-IPC608_8B64_165.jpg,train,20230731-123036-IPC608_8B64_165.jpg,20230731-123036,39.95,60.05,,35.091,1085.296,1.5709,0.00806,67.27,83.36,0.0,81.39,1920,1080
data\train\images\20230731-133036-IPC608_8B64_165.jpg,train,20230731-133036-IPC608_8B64_165.jpg,20230731-133036,35.7,64.3,,37.265,1142.338,1.5265,0.00649,74.64,82.41,3.26,90.67,1920,1080
data\train\images\20230731-143036-IPC608_8B64_165.jpg,train,20230731-143036-IPC608_8B64_165.jpg,20230731-143036,32.52,67.48,,38.227,744.165,1.5502,0.00562,77.9,89.06,0.12,95.75,1920,1080
data\train\images\20230801-063036-IPC608_8B64_165.jpg,train,20230801-063036-IPC608_8B64_165.jpg,20230801-063036,51.97,48.03,,30.314,1782.032,1.7095,0.01156,51.07,71.72,0.0,60.85,1920,1080
data\train\images\20230801-070036-IPC608_8B64_165.jpg,train,20230801-070036-IPC608_8B64_165.jpg,20230801-070036,66.39,33.61,,28.475,3516.747,1.5904,0.01705,44.84,42.72,0.0,28.55,1920,1080
data\train\images\20230801-083036-IPC608_8B64_165.jpg,train,20230801-083036-IPC608_8B64_165.jpg,20230801-083036,66.88,33.12,,28.882,3899.47,1.5115,0.01733,46.22,36.32,5.23,26.89,1920,1080
data\train\images\20230801-090036-IPC608_8B64_165.jpg,train,20230801-090036-IPC608_8B64_165.jpg,20230801-090036,65.59,34.41,,29.741,4034.334,1.4957,0.01669,49.13,34.07,7.33,30.67,1920,1080
data\train\images\20230802-063036-IPC608_8B64_165.jpg,train,20230802-063036-IPC608_8B64_165.jpg,20230802-063036,59.16,40.84,,30.671,2550.681,1.5436,0.01838,52.28,58.87,0.99,20.7,1920,1080
data\train\images\20230802-070036-IPC608_8B64_165.jpg,train,20230802-070036-IPC608_8B64_165.jpg,20230802-070036,65.44,34.56,,29.017,3153.426,1.5558,0.01976,46.67,48.79,0.0,12.57,1920,1080
data\train\images\20230802-093036-C4k0193.jpg,train,20230802-093036-C4k0193.jpg,20230802-093036,73.59,26.41,,16.274,12638.29,0.791,0.01337,3.47,0.0,100.0,50.19,2560,1440
data\train\images\20230802-110036-IPC608_8B64_165.jpg,train,20230802-110036-IPC608_8B64_165.jpg,20230802-110036,51.39,48.61,,33.008,2082.07,1.5381,0.01481,60.2,66.7,1.72,41.72,1920,1080
data\train\images\20230802-190036-IPC608_8B64_165.jpg,train,20230802-190036-IPC608_8B64_165.jpg,20230802-190036,55.71,44.29,,28.16,1005.974,1.4993,0.02541,43.77,84.69,6.85,0.0,1920,1080
data\train\images\20230803-170036-IPC608_8B64_165.jpg,train,20230803-170036-IPC608_8B64_165.jpg,20230803-170036,31.59,68.41,,35.76,471.406,1.3943,0.00769,69.53,93.62,20.75,83.61,1920,1080
data\train\images\20230804-073036-IPC608_8B64_165.jpg,train,20230804-073036-IPC608_8B64_165.jpg,20230804-073036,62.66,37.34,,31.571,5448.973,1.0948,0.02679,55.33,10.43,60.39,0.0,1920,1080
data\train\images\20230804-093036-IPC608_8B64_165.jpg,train,20230804-093036-IPC608_8B64_165.jpg,20230804-093036,24.06,75.94,,42.419,1180.468,1.1347,0.01588,92.11,81.77,55.11,35.42,1920,1080
data\train\images\20230804-110036-IPC608_8B64_165.jpg,train,20230804-110036-IPC608_8B64_165.jpg,20230804-110036,18.64,81.36,,44.642,1140.239,1.1072,0.01337,99.65,82.44,58.75,50.19,1920,1080
data\train\images\20230806-063036-IPC608_8B64_165.jpg,train,20230806-063036-IPC608_8B64_165.jpg,20230806-063036,28.64,71.36,,38.732,953.452,1.2707,0.01098,79.61,85.56,37.11,64.23,1920,1080
data\train\images\20230806-120036-IPC608_8B64_165.jpg,train,20230806-120036-IPC608_8B64_165.jpg,20230806-120036,18.29,81.71,,44.077,1020.176,1.1499,0.01058,97.73,84.45,53.1,66.58,1920,1080
data\train\images\20230807-073036-IPC608_8B64_165.jpg,train,20230807-073036-IPC608_8B64_165.jpg,20230807-073036,44.77,55.23,,35.033,2779.274,1.2233,0.01643,67.07,55.05,43.38,32.15,1920,1080
data\train\images\20230807-090036-IPC608_8B64_165.jpg,train,20230807-090036-IPC608_8B64_165.jpg,20230807-090036,49.5,50.5,,34.601,3535.745,1.1553,0.0201,65.61,42.4,52.38,10.57,1920,1080
data\train\images\20230807-093037-IPC608_8B64_165.jpg,train,20230807-093037-IPC608_8B64_165.jpg,20230807-093037,48.39,51.61,,35.179,3487.55,1.1421,0.02054,67.57,43.21,54.12,7.98,1920,1080
data\train\images\20230808-080036-IPC608_8B64_165.jpg,train,20230808-080036-IPC608_8B64_165.jpg,20230808-080036,39.31,60.69,,36.992,2334.22,1.2215,0.01555,73.71,62.49,43.62,37.33,1920,1080
data\train\images\20230808-090036-IPC608_8B64_165.jpg,train,20230808-090036-IPC608_8B64_165.jpg,20230808-090036,57.88,42.12,,32.648,4484.1,1.1521,0.02236,58.98,26.55,52.81,0.0,1920,1080
data\train\images\20230808-100036-IPC608_8B64_165.jpg,train,20230808-100036-IPC608_8B64_165.jpg,20230808-100036,60.16,39.84,,32.879,5084.882,1.1365,0.02282,59.77,16.51,54.87,0.0,1920,1080
data\train\images\20230808-113036-IPC608_8B64_165.jpg,train,20230808-113036-IPC608_8B64_165.jpg,20230808-113036,45.91,54.09,,37.133,3875.271,1.1444,0.01742,74.19,36.73,53.82,26.33,1920,1080
data\train\images\20230808-130036-IPC608_8B64_165.jpg,train,20230808-130036-IPC608_8B64_165.jpg,20230808-130036,28.1,71.9,,40.193,1531.159,1.2072,0.01136,84.56,75.91,45.52,62.02,1920,1080
data\train\images\20230809-110036-IPC608_8B64_165.jpg,train,20230809-110036-IPC608_8B64_165.jpg,20230809-110036,47.27,52.73,,36.054,3647.514,1.1355,0.0196,70.53,40.54,55.0,13.55,1920,1080
data\train\images\20230810-070036-IPC608_8B64_165.jpg,train,20230810-070036-IPC608_8B64_165.jpg,20230810-070036,42.69,57.31,,35.711,2676.916,1.1752,0.01751,69.37,56.76,49.75,25.85,1920,1080
data\train\images\20230810-073036-IPC608_8B64_165.jpg,train,20230810-073036-IPC608_8B64_165.jpg,20230810-073036,43.81,56.19,,35.596,2893.101,1.173,0.0174,68.98,53.14,50.04,26.46,1920,1080
data\train\images\20230810-120036-IPC608_8B64_165.jpg,train,20230810-120036-IPC608_8B64_165.jpg,20230810-120036,37.67,62.33,,37.161,2515.64,1.1517,0.01474,74.28,59.45,52.85,42.12,1920,1080
data\train\images\20230810-163036-IPC608_8B64_165.jpg,train,20230810-163036-IPC608_8B64_165.jpg,20230810-163036,36.64,63.36,,35.52,1182.922,1.3368,0.01224,68.72,81.73,28.36,56.83,1920,1080
data\train\images\20230811-120036-IPC608_8B64_165.jpg,train,20230811-120036-IPC608_8B64_165.jpg,20230811-120036,39.8,60.2,,37.969,2761.605,1.0931,0.02077,77.02,55.34,60.61,6.65,1920,1080
data\train\images\20230811-173036-IPC608_8B64_165.jpg,train,20230811-173036-IPC608_8B64_165.jpg,20230811-173036,46.83,53.17,,30.569,1217.131,1.4796,0.01143,51.93,81.16,9.46,61.57,1920,1080
data\train\images\20230813-133036-IPC608_8B64_165.jpg,train,20230813-133036-IPC608_8B64_165.jpg,20230813-133036,37.41,62.59,,38.076,2543.289,1.2064,0.01371,77.39,58.99,45.61,48.15,1920,1080
